=== axes diagnostic — both controllers ===
Sequence: 1) hold still (home capture)  2) both hands DOWN  3) both hands FORWARD  4) both hands to the SIDES
  t(s)      L_X     L_Y     L_Z        R_X     R_Y     R_Z
-----------------------------------------------------------------
   0.2   +0.000  +0.000  +0.000     +0.000  +0.000  +0.000
   0.4   -0.000  +0.000  -0.005     -0.002  -0.028  +0.018
   0.6   +0.000  -0.000  -0.007     -0.014  -0.030  +0.022
   0.8   -0.000  -0.001  -0.006     -0.014  -0.030  +0.022
   1.0   +0.001  -0.002  -0.007     -0.012  -0.029  +0.022
   1.2   -0.001  -0.002  -0.008     -0.013  -0.029  +0.021
   1.4   -0.001  -0.006  -0.052     -0.014  -0.026  -0.021
   1.6   -0.013  -0.003  -0.157     -0.024  -0.007  -0.119
   1.8   -0.070  +0.010  -0.237     -0.059  +0.060  -0.186
   2.0   -0.160  +0.061  -0.348     +0.010  +0.387  -0.170
   2.2   -0.169  +0.095  -0.409     -0.171  +0.057  -0.301
   2.4   -0.163  +0.113  -0.447     -0.165  +0.075  -0.339
   2.6   -0.192  +0.153  -0.490     -0.195  +0.115  -0.382
   2.8   -0.124  +0.085  -0.423     -0.126  +0.047  -0.315
   3.0   -0.193  +0.019  -0.292     -0.195  -0.019  -0.183
   3.2   -0.185  +0.017  -0.285     +0.092  +0.268  -0.193
   3.4   -0.212  +0.213  -0.253     +0.124  +0.123  -0.207
   3.6   -0.153  +0.167  -0.366     +0.112  +0.122  -0.290
   3.8   -0.137  +0.186  -0.418     +0.075  +0.138  -0.314
   4.0   -0.109  +0.226  -0.470     +0.068  +0.176  -0.355
   4.2   -0.107  +0.244  -0.495     +0.086  +0.208  -0.388
   4.4   -0.104  +0.228  -0.500     +0.103  +0.203  -0.391
   4.6   -0.101  +0.190  -0.496     -0.174  -0.014  -0.266
   4.8   -0.140  +0.140  -0.363     -0.124  -0.013  -0.286
   5.0   -0.163  +0.023  -0.204     -0.057  -0.063  -0.211
   5.2   -0.206  -0.083  -0.148     +0.098  -0.025  -0.138
   5.4   -0.216  -0.145  -0.126     +0.143  -0.101  -0.121
   5.6   -0.222  -0.181  -0.093     +0.147  -0.130  -0.104
   5.8   -0.231  -0.186  -0.094     +0.121  -0.145  -0.088
   6.0   -0.243  -0.188  -0.101     +0.110  -0.150  -0.081
   6.2   -0.255  -0.186  -0.124     +0.092  -0.154  -0.102
   6.4   -0.277  -0.174  -0.182     +0.074  -0.147  -0.155
   6.6   -0.290  -0.160  -0.240     +0.073  -0.145  -0.192
   6.8   -0.280  -0.157  -0.258     +0.088  -0.141  -0.211
   7.0   -0.269  -0.170  -0.219     +0.104  -0.154  -0.191
   7.2   -0.245  -0.180  -0.183     +0.119  -0.152  -0.171
   7.4   -0.225  -0.185  -0.115     +0.130  -0.161  -0.108
   7.6   -0.254  -0.175  -0.114     +0.108  -0.168  -0.099
   7.8   -0.262  -0.172  -0.108     +0.096  -0.173  -0.085
   8.0   -0.260  -0.171  -0.107     +0.098  -0.174  -0.090
   8.2   -0.268  -0.166  -0.104     +0.091  -0.179  -0.079
   8.4   -0.271  -0.163  -0.099     +0.089  -0.182  -0.073
   8.6   -0.278  -0.157  -0.111     +0.083  -0.176  -0.099
   8.8   -0.290  -0.149  -0.137     +0.069  -0.166  -0.127
   9.0   -0.304  -0.131  -0.187     +0.058  -0.142  -0.174
   9.2   -0.318  -0.093  -0.275     +0.042  -0.099  -0.253
